id,ttm_ason,mcap,ev,pe,pbv,divyield,eps,book_value,roa_ttm,roe_ttm,roce_ttm,ebit_ttm,ebitda_ttm,ev_sales_ttm,ev_ebitda_ttm,net_income_margin_ttm,gross_income_margin_ttm,asset_turnover_ttm,current_ratio_ttm,debt_equity_ttm,sales_total_assets_ttm,net_debt_ebitda_ttm,ebitda_margin_ttm,total_share_holders_equity_ttm,short_term_debt_ttm,long_term_debt_ttm,shares_outstanding,eps_diluted,net_sales,net_profit,annual_dividend,cogs,peg_ratio_ttm,dividend_payout_ttm,company_id
1126,201812,5.52,NULL,0,0.52,0,0,3.5830508,-0.8517887563884157,-2.281,-1.2415,-0.25,-0.25,0,NULL,0,0,0,0.158,0.8373,0,-34.8,0,10.57,0,8.85,29500000,0,0,-0.25,0,0.01,0,0,1749
1175,201912,1.9,28.758,0,0.14,0,0,18.781831,-23.468606431852983,5.7645,8.9446,-9.16,-8.479999999999999,0.3866881807180314,-3.3912735849056608,-16.485141858276187,-15.27497646900632,1.4236217457886677,3.7866,2.0326,1.4236217457886677,-3.1674528301886795,-11.402447223342744,13.34,18.56,8.55,7100000,0,74.37,-12.26,0,65.94,0,0,1842
1176,201606,7.95,7.9484,0,1.15,0,0,0.9180667,-0.2886002886002886,0.1336,-0.0363,-0.04,0.02,158.968,397.42,-40,40,0.007215007215007216,148.86,0,0.007215007215007216,0,40,6.89,0,0,75000000,0,0.05,-0.02,0,0,0,0,1843
1190,202006,2.81,NULL,0,0,0,0,-2.2852291,-13.333333333333334,2.9941,-4.743,-0.18,-0.18,0,NULL,0,0,0,0,0,0,0.05555555555555556,0,-2.130000000000001,0,0,9676767,0,0,-0.18,0,0,0,0,1867
1195,201812,7.73,309.9828,0,0,0,0,-37.1356007,-14.10534166785055,-764.8246,-21.7326,-72.03,-64.61999999999999,4.8701146897093475,-4.797010213556176,-124.79183032207384,-168.2010997643362,0.11303097030828244,0.4909,32.0799,0.11303097030828244,-4.677344475394615,-101.52395915161034,9.45,303.19,0,11316724,0,63.650000000000006,-79.43,0,66.37,0,0,1878
1250,202309,866.63,NULL,0,31.19,0,0,8.6682683,-4.877239548772395,-15.8651,-5.1969,-4.37,-4.26,NULL,NULL,-43.49112426035502,-42.40631163708086,0.11214333112143332,3.5139,2.0346,0.11214333112143332,-13.241784037558688,-42.01183431952663,27.779999999999998,0,56.52,32050000,0,10.14,-4.409999999999999,0,0.12,0,0,1979
1257,202103,3.2,2.5838,5.11,0.17,0,0.38,11.3150061,0.7672955974842767,3.3312,3.3312,0.61,0.61,0.04517922713761147,4.235737704918033,1.0666200384682638,1.0666200384682638,0.7193710691823899,1.1345,0,0.7193710691823899,-1.0163934426229508,1.0666200384682638,18.67,0,0,16500380,0.38,57.19,0.61,0,0.65,0.0034821124361158412,0,1996
1279,202112,1.19,4.3232,0,0,0,0,-6.8982094,-3.4782608695652173,0.9989,2.6739,-0.04,-0.04,0,-108.08,0,0,0,0.3785,-0.6264,0,-78.5,0,-5.01,3.14,0,7262200,0,0,-0.04,0,0,0,0,2033
1291,201709,11.21,334.7858,0,0,0,0,-96.1409567,-39.24731182795699,14.9778,-28.0318,-14.21,-5.69,16739.29,-58.83757469244288,-204400,-161800,0.00019201228878648233,0.1521,-1.1857,0.00019201228878648233,-56.86818980667837,-28450,-272.94,93.27,230.36,34827224,0,0.02,-40.88,0,0.55,0,0,2054
1307,200909,9.300000190734863,NULL,0,0,0,0,-8.579999923706055,0,NULL,NULL,1.19,2.14,NULL,NULL,-8.51293103448276,1.7241379310344827,0,NULL,NULL,0,NULL,23.06034482758621,NULL,NULL,NULL,0,0,9.28,-0.79,0,5.2,0,0,2079
